customer_text,intent,prediction
@AppleSupport Screen typing on its own either a malfunction or i have ghost,performance_crash,device_settings_features
@AppleSupport iOS 11.1.1 version.. and restarting the phone or stocks app doesn't help with any changes,performance_crash,ios_update
"@AppleSupport No, I only get this issue when I receive messages. I’m using the iPhone 8 Plus",performance_crash,messages_imessage
"@AppleSupport No. It just flashes at the top of the screen like it’s going to play, but nothing happens.",device_settings_features,device_settings_features
"@AppleSupport It reads ""watchOS 3.2.2 - Your software is up to date.""",apps_app_store,other_unclear
"@AppleSupport Hi, thanks! I’m running 11.1.1",icloud_photos,other_unclear
"@460619 @AppleSupport Guys that’s true, i did update to ios11.1 on my 7+ &amp; the battery is the worst 🤨🤯 What’s going on",messages_imessage,battery_charging
"@AppleSupport o IOS11 tá dando problema com o Wi-Fi e não conecta, em todos os Androids aqui de casa funciona internet, no meu cel não 🙄",purchases_billing,device_settings_features
@726036 @115858 @AppleSupport My iPhone 7+ runs out of charge so quick it’s unbelievable,battery_charging,battery_charging
@AppleSupport,other_unclear,other_unclear
"@AppleSupport Yes, but do Dolby Vision films *also* support my HDR10 TV, or are the formats mutually exclusive?",other_unclear,other_unclear
@AppleSupport I found a workaround by just manually selecting it in the predictive text. Is it going to be fixed soon?,performance_crash,messages_imessage
"@AppleSupport Gee, where do I start? Can no longer use the letter “I️”, the iMessage is supper laggy, phone randomly freezes. Mind you, these issues never happened before ios11",performance_crash,messages_imessage
@AppleSupport Ios ver 11.1.2. I tried with booth wifi and cellular data. All aps cannot be updated and downloaded.,apps_app_store,sim_cellular_network
@AppleSupport I stopped using my Apple Music and now all my iTunes music purchases are gone! From when I the iPhone 3g. Where is my music!,purchases_billing,purchases_billing
@AppleSupport any idea how to fix this?,other_unclear,other_unclear
@AppleSupport And I don’t have the Mac on me at the moment.,other_unclear,other_unclear
@115858 @AppleSupport EYE can’t type the letter that comes after comes after “H” w/o looking like I’m speaking in codes. I️ I️ I️ I️ I️,icloud_photos,other_unclear
@AppleSupport hi. Can you help me fix my activity ring of my Apple Watch?,sim_cellular_network,other_unclear
"@AppleSupport I received many emails like this one, how to stop these spammers!! 🤔",apple_id_account,other_unclear
@AppleSupport Thank you for the speedy reply. But it still occurs sometimes. That is better than every time.,other_unclear,other_unclear
Such a wonderful experience with sorting out the issue I had with logging in to my iCloud through Safari. Thank you @AppleSupport !,apple_id_account,icloud_photos
@AppleSupport Yes still getting the same pop me to solve this.,other_unclear,other_unclear
"Hey @AppleSupport how do i disable drag and drop features. I will never use it, it always starts when i rest my finger on something on the screen. I HATE THAT.",performance_crash,device_settings_features
@AppleSupport what the hell is this? My phone has been doing this every 5 minutes since I bought it almost a month ago. I’ve only bought more iCloud storage &amp; set up Apple Pay.. and both of those are working fine.,other_unclear,icloud_photos
@AppleSupport just got an iPhone X. Now whenever I dictate a reply using CarPlay it sends the message to the wrong person! So awkward.,performance_crash,messages_imessage
@AppleSupport @118936 @23150 @160959 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ please help I️ I️ I️ I️ I️,battery_charging,other_unclear
"Apple, ima need y’all to get your shit together with this letter ‘I’ problem @AppleSupport",battery_charging,other_unclear
@AppleSupport anytime I get a notification my Spotify music stops playing. Even if I'm in the app... #iOS11 still sucks😒,sim_cellular_network,device_settings_features
@579186 @AppleSupport Yeah the alarm alerts have gone totally bonkers on my phone too.,ios_update,other_unclear
"@AppleSupport MBP mid2012 9,2 (i7 upgraded to 16GB ram &amp; SSD)",ios_update,other_unclear
"@AppleSupport tell me, am I meant to be using my passcode so much with Face ID I feel like I’ve gone back in time...",ios_update,other_unclear
"@AppleSupport Thanks for the reply, I do appreciate it, but what irks me is the fact that next reboot, it’s back to the same ‘default’ photo. Why cant we just leave things that work fine alone..?",performance_crash,icloud_photos
iOS 11.0.3 was supposed to fix touch screen problems and it’s made my perfectly ok iPhone device have problems @AppleSupport,ios_update,ios_update
Does @AppleSupport no longer sell the lightning-ethernet adapter?,device_settings_features,other_unclear
IM MAD @AppleSupport why do y’all keep replacing my I️ with this other stuff?? Please FIX IT ASAP,device_settings_features,other_unclear
@AppleSupport I just sent a dm about an accident on iTunes I need help removing the payment please.,purchases_billing,purchases_billing
@AppleSupport iPhone 6s and yes version 11.0.2.,ios_update,other_unclear
"Hey, @AppleSupport, what are you doing about the fact the update made battery life suck?",battery_charging,battery_charging
@AppleSupport Thank you. iPod 6th gen iOS 11.0,ios_update,ios_update
@AppleSupport I was charged for a subscription that I ended and y’all owe me $15.,purchases_billing,purchases_billing
@AppleSupport Is there a function I can change on my iPhone X so my phone automatically goes full screen when I watch a video it’s so annoying having to tap something to get full screen all the time,ios_update,calls
Why I can’t download any apps from @118936?@AppleSupport,apps_app_store,apps_app_store
@AppleSupport This is what happens. I’ve only seen it on Facebook,ios_update,other_unclear
@AppleSupport 11.0.2,ios_update,other_unclear
@AppleSupport when y’all gone fix this glitch,performance_crash,performance_crash
@AppleSupport if I trade in my iPad at the apple store tomorrow will thy give me credit I can use towards an Apple Watch?,ios_update,other_unclear
"@AppleSupport No, this happens no matter what app I’m using and even when I’m not touching the phone. I have turned the phone on and off but the issue continues.",ios_update,other_unclear
@AppleSupport My tasks/ windows in the background are always shut in order to prevent useless battery usage. Not ready to buy a new iPhone either 🤨,ios_update,battery_charging
hey @115858 @AppleSupport since when is my charger supposed to catch on fire and melt????,battery_charging,battery_charging
"@406735 @AppleSupport YES, I HATE IT AND I'M TYPING IN ALL CAPS BECAUSE THIS PRESUMABLY IS A VERY SIMPLE THING TO FIX @APPLESUPPORT @115858 @80933",battery_charging,sim_cellular_network
".@AppleSupport Headphone Jack is no longer recognizing headphones with iOS 11.1. Have tried multiple pairs, any solution?",battery_charging,ios_update
"@AppleSupport glitch in iOS 11.0.3 Never happened before. The music seek bar doesn’t work nor does it update per second. Tried closing and opening the app &amp; restarted as well, doesn’t work. Please fix",battery_charging,ios_update
"You know @AppleSupport this is ridiculous, for weeks I️ haven’t had to deal with the glitch changing the letter “I️” but now suddenly I️ do out of nowhere? Is this some sort of joke?",performance_crash,performance_crash
@115858 @AppleSupport When y’all gone fix these bugs 🤦🏾‍♀️,performance_crash,performance_crash
"@AppleSupport @341674 I have the same problem, I have to open the Spotify or Music App to manage musics, I can’t do it by the Control Center anymore",device_settings_features,other_unclear
@AppleSupport are you kidding me! Y’all fix the “I” problem! And now my “I.t” is trippin 🤨🧐😡😡😡🤬🤬🤬,icloud_photos,other_unclear
Hey @115858 @AppleSupport I don’t think my battery is supposed to go from 100% to 56% in 2 hours. I know my phones old but geez.,battery_charging,battery_charging
fuck apple and iPhone seriously lost all of my fucking pictures and messages from the last 5 fucking months @115858 @AppleSupport,performance_crash,messages_imessage
@AppleSupport I️ need an explanation,other_unclear,other_unclear
@AppleSupport Still none of this works...,performance_crash,other_unclear
@AppleSupport I really despair that the iPhone 7 does this in notifications. ios 11 is wrong,battery_charging,device_settings_features
@AppleSupport what’s going on with these question marks??,performance_crash,other_unclear
"@AppleSupport Ahh not again iOS 11.0.2 makes my iPhone 5s freeze all time, not able to use phone properly !! Pls fix",performance_crash,ios_update
@AppleSupport It's iPhone 5SE. The battery was good with iOS 10 &amp; also with iOS 11.0.2 but now with 11.1.1 it's the same it drains fast. It a common issue for all the users. There are many articles posted by Forbes also. Hope you know the same. Pls address the issue.,battery_charging,battery_charging
Y’all best explain why tf I always conveniently get problems with my iPhone when the newest one drops @AppleSupport this shit ain’t no coincidence,apple_id_account,other_unclear
@AppleSupport @115858 wtf is that on my X,icloud_photos,other_unclear
Mac OS X 10.12.6 QuickTime 10.4 cannot play a .MOD video it plays it as a audio file but iMessage can play the video? @AppleSupport,messages_imessage,messages_imessage
@AppleSupport Why are some notifications in newest iOS overflowing their background boxes? Example attached,battery_charging,device_settings_features
@AppleSupport I have the I phone 7+. It just freezes out of no where and I can’t turn it off and recently it’s been just restarting itself.,performance_crash,performance_crash
Fix this I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ @AppleSupport,performance_crash,other_unclear
