customer_tweet_id,customer_text,support_reply,intent,notes
1773221,@AppleSupport Screen typing on its own either a malfunction or i have ghost,@532941 Thanks for the info. Let's work together on this in DM.,performance_crash,
2285946,@AppleSupport iOS 11.1.1 version.. and restarting the phone or stocks app doesn't help with any changes,@664262 Thanks. Send us a DM to continue.,ios_update,
2369395,"@AppleSupport No, I only get this issue when I receive messages. I’m using the iPhone 8 Plus",@683800 Thanks for confirming. Do you know if the contacts messaging you with this issue have updated their devices?,performance_crash,
766951,"@AppleSupport No. It just flashes at the top of the screen like it’s going to play, but nothing happens.","@303299 Thanks for confirming. Please meet us in DM so we may gather information, and better assist.",device_settings_features,
2367804,"@AppleSupport It reads ""watchOS 3.2.2 - Your software is up to date.""",@157995 We want to help you get things up to date. Send us a DM and let us know what version of iOS you are running on your phone and we'll go from there.,apps_app_store,6.0
501470,"@AppleSupport Hi, thanks! I’m running 11.1.1","@234806 You're most welcome! We recommend creating backup of your data, and update your iOS to iOS 11.1.2. This article has the details:",icloud_photos,8.0
1467463,"@460619 @AppleSupport Guys that’s true, i did update to ios11.1 on my 7+ &amp; the battery is the worst 🤨🤯 What’s going on",@591716 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together.,messages_imessage,9.0
1492839,"@AppleSupport o IOS11 tá dando problema com o Wi-Fi e não conecta, em todos os Androids aqui de casa funciona internet, no meu cel não 🙄","@466671 Since our Twitter support is available in English, get help at or join",purchases_billing,11.0
2557328,@726036 @115858 @AppleSupport My iPhone 7+ runs out of charge so quick it’s unbelievable,@726378 We're happy to help. Try these tips for battery life and let us know if you still have an issue:,other_unclear,13.0
484495,@AppleSupport,"@230289 Great, we're glad to see your iPhone is up to date. We'd like to continue working with you on this, DM us and we'll go from there.",other_unclear,12.0
711656,"@AppleSupport Yes, but do Dolby Vision films *also* support my HDR10 TV, or are the formats mutually exclusive?","@290192 The formats are not exclusive. With 4K content, it will play at the highest quality available (4K SDR, 4K HDR, or 4K Dolby Vision).",other_unclear,1.0
2105223,@AppleSupport I found a workaround by just manually selecting it in the predictive text. Is it going to be fixed soon?,@621405 Glad to hear that's working for you. Keep on the lookout for updates to iOS.,performance_crash,2.0
1768836,"@AppleSupport Gee, where do I start? Can no longer use the letter “I️”, the iMessage is supper laggy, phone randomly freezes. Mind you, these issues never happened before ios11",@531803 Here’s what you can do to work around the issue until it’s fixed in a future software update:,performance_crash,
2837161,@AppleSupport Ios ver 11.1.2. I tried with booth wifi and cellular data. All aps cannot be updated and downloaded.,@789658 What happens when you attempt to download new items and update current apps? Are you getting an error message?,apps_app_store,3.0
667812,@AppleSupport I stopped using my Apple Music and now all my iTunes music purchases are gone! From when I the iPhone 3g. Where is my music!,@164995 Our iTunes Store team may be best equipped to assist you with the issue you described. You can reach out to them here: if you have any other questions please reach out to us in DM.,purchases_billing,
1143490,@AppleSupport any idea how to fix this?,@389132 We'd be happy to help out. Have you given these steps a try?,ios_update,
2283106,@AppleSupport And I don’t have the Mac on me at the moment.,@322320 We certainly understand that. Please send us a DM with which country you're in so we can determine our next steps.,apps_app_store,
1541057,@115858 @AppleSupport EYE can’t type the letter that comes after comes after “H” w/o looking like I’m speaking in codes. I️ I️ I️ I️ I️,@477593 We'd love to get this straightened out for you. Send us a DM and we'll take a look.,icloud_photos,
1521232,@AppleSupport hi. Can you help me fix my activity ring of my Apple Watch?,@472851 We'd love to check that out with you. Please send us a DM and we'll work together there.,sim_cellular_network,5.0
766959,"@AppleSupport I received many emails like this one, how to stop these spammers!! 🤔",@303301 Thanks for bringing this to our attention. Check out this article to help report phishing emails:,apple_id_account,6.0
682100,@AppleSupport Thank you for the speedy reply. But it still occurs sometimes. That is better than every time.,@282792 We'd like to look into this with you to see how we can help. Please connect with us in DM here:,apple_id_account,6.0
1588130,Such a wonderful experience with sorting out the issue I had with logging in to my iCloud through Safari. Thank you @AppleSupport !,@454907 Glad we could help! Have a wonderful rest of your day!,apple_id_account,6.0
2725955,@AppleSupport Yes still getting the same pop me to solve this.,@764467 Thanks for that pic. DM us and we'll get you pointed in the right direction.,sim_cellular_network,4.0
2683666,"Hey @AppleSupport how do i disable drag and drop features. I will never use it, it always starts when i rest my finger on something on the screen. I HATE THAT.",@672296 We have the information you need on multitasking here.,performance_crash,3.0
585982,@AppleSupport what the hell is this? My phone has been doing this every 5 minutes since I bought it almost a month ago. I’ve only bought more iCloud storage &amp; set up Apple Pay.. and both of those are working fine.,@258355 We do understand your concerns and we're happy to look into this issue with you. Please DM us the iOS version currently installed and we'll gladly get started sorting this out.,performance_crash,3.0
1623809,@AppleSupport just got an iPhone X. Now whenever I dictate a reply using CarPlay it sends the message to the wrong person! So awkward.,@497379 Hi! Is it hearing the wrong name? Or showing the correct name and sending it to the wrong person? Give us some more details in DM,performance_crash,3.0
2140948,@AppleSupport @118936 @23150 @160959 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ please help I️ I️ I️ I️ I️,@629576 Here’s what you can do to work around the issue until it’s fixed in a future software update:,battery_charging,2.0
2143986,"Apple, ima need y’all to get your shit together with this letter ‘I’ problem @AppleSupport",@630356 Here’s what you can do to work around the issue until it’s fixed in a future software update:,battery_charging,2.0
1633012,@AppleSupport anytime I get a notification my Spotify music stops playing. Even if I'm in the app... #iOS11 still sucks😒,@499656 We'd like to help! Which version of iOS 11 are you updated to? Are there any updates available for Spotify?,sim_cellular_network,1.0
1949825,@579186 @AppleSupport Yeah the alarm alerts have gone totally bonkers on my phone too.,@579322 Let's get to the bottom of this. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM.,ios_update,1.0
850441,"@AppleSupport MBP mid2012 9,2 (i7 upgraded to 16GB ram &amp; SSD)","@322045 Try Safe mode. It can help clear the system cache, and you can check for incompatible login items:",ios_update,1.0
500102,"@AppleSupport tell me, am I meant to be using my passcode so much with Face ID I feel like I’ve gone back in time...","@234456 Hey there, we know using Face ID is important &amp; we'd like to help! Is Face ID having trouble with unlocking only? Are you able to use it with other features? Take some time to work through these steps &amp; let us know what you find:",ios_update,1.0
2179480,"@AppleSupport Thanks for the reply, I do appreciate it, but what irks me is the fact that next reboot, it’s back to the same ‘default’ photo. Why cant we just leave things that work fine alone..?","@162456 We completely understand how that would make you feel! It's actually not expected behavior for a standard or administrator user account, however. It should retain your wallpaper in between restarts. We'd like to look into this further. Please DM us to proceed.",ios_update,1.0
847086,iOS 11.0.3 was supposed to fix touch screen problems and it’s made my perfectly ok iPhone device have problems @AppleSupport,@321317 Thanks for reaching out. Please DM us which device is having the issue. We'll start there.,ios_update,1.0
796618,Does @AppleSupport no longer sell the lightning-ethernet adapter?,@309956 Thanks for reaching out. If available you would find that here:,device_settings_features,1.0
1517070,IM MAD @AppleSupport why do y’all keep replacing my I️ with this other stuff?? Please FIX IT ASAP,@471980 Thanks for contacting us. Send us a DM and we'll go from there.,device_settings_features,1.0
36631,@AppleSupport I just sent a dm about an accident on iTunes I need help removing the payment please.,"@123979 This article can help: If you run into issues, reach out to iTunes billing here:",device_settings_features,11.0
388940,@AppleSupport iPhone 6s and yes version 11.0.2.,@208031 Got it. Let's go ahead and move into DM so we can take a look at our options to get this resolved. Use the button below.,ios_update,11.0
1788932,"Hey, @AppleSupport, what are you doing about the fact the update made battery life suck?",@537375 We’d like to see how we can help with this issue. Send us a DM with more details and we'll go from there.,ios_update,11.0
1838233,@AppleSupport Thank you. iPod 6th gen iOS 11.0,@551008 Thanks for that info. DM us &amp; let us know when that music was deleted from your device. We'll continue there.,ios_update,11.0
427835,@AppleSupport I was charged for a subscription that I ended and y’all owe me $15.,@215165 Our iTunes Support team is in the best position to assist and can be contacted from here:,ios_update,11.0
92840,@AppleSupport Is there a function I can change on my iPhone X so my phone automatically goes full screen when I watch a video it’s so annoying having to tap something to get full screen all the time,"@774968 While that feature isn't available, we love feedback and suggestions. Please leave those for us here:",ios_update,1.0
2082339,Why I can’t download any apps from @118936?@AppleSupport,"@175206 Thank you for reaching out to us. Please DM your iOS, iPhone model, and your country so we can determine your support options.",ios_update,1.0
1630178,@AppleSupport This is what happens. I’ve only seen it on Facebook,@388601 Here’s what you can do to work around the issue until it’s fixed in a future software update:,ios_update,1.0
434662,@AppleSupport 11.0.2,@218260 We'd be happy to look into this with you further. DM us and we'll go from there.,ios_update,1.0
1573107,@AppleSupport when y’all gone fix this glitch,"@484900 We'd love to help. For assistance with that, click here: Let us know if you have questions.",ios_update,1.0
1795271,@AppleSupport if I trade in my iPad at the apple store tomorrow will thy give me credit I can use towards an Apple Watch?,@215043 That's a great question! We'd be happy to review some information with you. Let us know in DM which country you're in.,ios_update,1.0
2313546,"@AppleSupport No, this happens no matter what app I’m using and even when I’m not touching the phone. I have turned the phone on and off but the issue continues.",@670882 We'd like to look into this further. Could you Direct Message us and let us know what country you're located in?,ios_update,
2485885,@AppleSupport My tasks/ windows in the background are always shut in order to prevent useless battery usage. Not ready to buy a new iPhone either 🤨,@710086 We'd like to gather some more details. Meet us in DM and we'll continue from there.,ios_update,1.0
1419643,hey @115858 @AppleSupport since when is my charger supposed to catch on fire and melt????,"@284365 Thank you for reaching out. Let us know your country location in a DM, we'd like some details to assist.",battery_charging,2.0
1648387,"@406735 @AppleSupport YES, I HATE IT AND I'M TYPING IN ALL CAPS BECAUSE THIS PRESUMABLY IS A VERY SIMPLE THING TO FIX @APPLESUPPORT @115858 @80933",@503752 Here’s what you can do to work around the issue until it’s fixed in a future software update:,battery_charging,2.0
2435345,".@AppleSupport Headphone Jack is no longer recognizing headphones with iOS 11.1. Have tried multiple pairs, any solution?",@698759 We want to help. Send us a DM letting us know if you have tried re-starting.,battery_charging,2.0
1802980,"@AppleSupport glitch in iOS 11.0.3 Never happened before. The music seek bar doesn’t work nor does it update per second. Tried closing and opening the app &amp; restarted as well, doesn’t work. Please fix",@367938 Thanks for reaching out for help with your Music app. Please meet us in DM and we'll take a closer look into this issue.,battery_charging,2.0
2505105,"You know @AppleSupport this is ridiculous, for weeks I️ haven’t had to deal with the glitch changing the letter “I️” but now suddenly I️ do out of nowhere? Is this some sort of joke?","@714365 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out:",battery_charging,22333.0
1761114,@115858 @AppleSupport When y’all gone fix these bugs 🤦🏾‍♀️,@529992 We'd like to help if you're noticing any issues. DM us some details and we'll work together from there:,performance_crash,3.0
934477,"@AppleSupport @341674 I have the same problem, I have to open the Spotify or Music App to manage musics, I can’t do it by the Control Center anymore","@341673 Which device and version of iOS are you using? Please be sure to restart, using only the side button.",apple_id_account,6.0
584807,@AppleSupport are you kidding me! Y’all fix the “I” problem! And now my “I.t” is trippin 🤨🧐😡😡😡🤬🤬🤬,"@258016 Thank you for reaching out to us. Let’s work together to find the best course of action for this issue. To start, what device model and software version are you using?",icloud_photos,78.0
1508053,Hey @115858 @AppleSupport I don’t think my battery is supposed to go from 100% to 56% in 2 hours. I know my phones old but geez.,@470020 We'd love to help with the battery life. Which iPhone do you have and what's the exact iOS version?,messages_imessage,4.0
2131161,fuck apple and iPhone seriously lost all of my fucking pictures and messages from the last 5 fucking months @115858 @AppleSupport,@627221 That shouldn't have happened. We want to help. Please tell us more in DM.,performance_crash,
1636519,@AppleSupport I️ need an explanation,@500550 Here’s what you can do to work around the issue until it’s fixed in a future software update:,sim_cellular_network,
1078307,@AppleSupport Still none of this works...,@374378 Let's take a closer look. Send us a DM and we can start there.,performance_crash,
481776,@AppleSupport I really despair that the iPhone 7 does this in notifications. ios 11 is wrong,@229511 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together.,battery_charging,
1416064,@AppleSupport what’s going on with these question marks??,@449096 We're here for you. Send us a description of what you're seeing in DM along with your OS version.,performance_crash,
2095389,"@AppleSupport Ahh not again iOS 11.0.2 makes my iPhone 5s freeze all time, not able to use phone properly !! Pls fix",@619038 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.,sim_cellular_network,
2284084,@AppleSupport It's iPhone 5SE. The battery was good with iOS 10 &amp; also with iOS 11.0.2 but now with 11.1.1 it's the same it drains fast. It a common issue for all the users. There are many articles posted by Forbes also. Hope you know the same. Pls address the issue.,@663765 We know how important battery life is and would love to assist you with yours. Join us in DM here:,performance_crash,
2773165,Y’all best explain why tf I always conveniently get problems with my iPhone when the newest one drops @AppleSupport this shit ain’t no coincidence,@481525 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,apple_id_account,
2774375,@AppleSupport @115858 wtf is that on my X,@775359 Hey there! Do you have a 6 digit passcode set? Join us in DM with more details.,icloud_photos,
1845486,Mac OS X 10.12.6 QuickTime 10.4 cannot play a .MOD video it plays it as a audio file but iMessage can play the video? @AppleSupport,@552828 We'd like to take a closer look at what's going on. Please confirm what type of Mac you're using via DM.,messages_imessage,9.0
514814,@AppleSupport Why are some notifications in newest iOS overflowing their background boxes? Example attached,@238548 Hey Adam! We could definitely see how that would be inconvenient. Does this issue persist after doing a restart of your phone? Which iOS version are you currently running?,battery_charging,
342860,@AppleSupport I have the I phone 7+. It just freezes out of no where and I can’t turn it off and recently it’s been just restarting itself.,@197626 Let's help take a closer look. Please DM us what version of IOS 11 you're using and we can go from there.,battery_charging,
2141024,Fix this I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ @AppleSupport,@629603 Here’s what you can do to work around the issue until it’s fixed in a future software update:,performance_crash,
2364511,Since this new iOS11 my weather widget doesn’t even display the right shit. How do I fix that? @AppleSupport,"@369735 We'll be happy to help with this. To start, can you tell us the exact version of the iOS 11 software you're using? And does the Weather application itself display the correct information?",sim_cellular_network,
195938,@AppleSupport how can I send emails to the trash now instead of the archived option in the Apple Mail App,@162091 That's a great question! Let's look into this together. Could you tell us which Apple device you're currently using?,apps_app_store,
2123904,Finally updated my phone to iOS 11. Instant regret. Thanks @AppleSupport,@625622 That's no way to start out on a new iOS update. We'll be happy to help with what you're experiencing. What has been happening?,apps_app_store,
2924687,"@AppleSupport Battery draining, gets stuck in landscape view, apps take 5-10 seconds to load(including recent calls, voicemail), some apps not compatible, auto dimming won’t turn off, flashlight doesn’t work at low battery percentage",@809272 Thank you for those details. Which version of iOS 11 are you currently using? Let us know in DM.,apple_id_account,
2834452,@AppleSupport battery life has been terrible since iOS 11 on my 6s plus. Any fix can you guys recommend?,@789029 Let’s team up to get this situation with your iPhone 6s Plus addressed. Which exact version of iOS 11 are you currently using? Does the battery appear to drain more quickly while using certain apps? Let us know via a DM. We’ll keep moving from there.,icloud_photos,
712509,"Dear @AppleSupport, for the 2nd time in 10 Days all my photos have disappeared except for 12 from 3 years ago.",@290396 Let's look into this together. Could you tell us which iPhone and iOS version you're using?,performance_crash,
2633080,@AppleSupport I need help but it seems I can't get anywhere with support.,@219220 We're happy to help. Let us know how we can assist.,battery_charging,3.0
2508188,@AppleSupport Well they said go to the store they will help you let’s find out if they give me a new phone I will bring back all the iPhones I bought my family for Xmas and go back to google and get pixels for the fam no service what’s so ever from apple support thanks guys,@715060 Let us now the results either way in Direct Message. We'd like to look into this with you.,sim_cellular_network,
1633478,Can not get any solution with #Apple chat on keep hanging #iPhone 5S after upgrading in iOS 11..😔 @AppleSupport @120640,@324704 We'd like to help with this. Send us a DM and we'll continue from there.,apps_app_store,
1920077,MON CLAVIER LAG A MORT @AppleSupport je vais peter un câble 😤,@571614 We offer support via Twitter in English. Contact us for help in your preferred language here:,apple_id_account,
2039833,Thanks for ruining my brand new phone @AppleSupport!! #iOS11 left me w/ a crashing phone that barely stays charged. #PlannedObsolescence,"@603127 Thanks for bringing this to our attention, Lucy. Congrats on the new phone! DM us and tell us which one you have. We can help.",icloud_photos,
87017,@AppleSupport My iPhone is currently running on iOS 11.1.2,@135041 OK. Let's continue in DM.,messages_imessage,
676798,@AppleSupport Cómo hago para que mi app de @12762 suene incluso si mi iPhone está en silencio o en no molestar 🌙? Gracias. 😀,@281448 We offer support via Twitter in English. Get help in Spanish here: or join,battery_charging,
797587,@AppleSupport Since the new update my settings have been changing (back lighting changes by itself. Goes to do not disturb).,@310154 We want to help. Can you tell us which version of iOS 11 you have?,performance_crash,
939219,@AppleSupport ever since I updated my iPhone to iOS 11 all my apps are running slow &amp; take long to open. My phone constantly freezes and this never happened before the update!!! Just terrible can you fix the bugs ASAP!!!!!!!!!,@342642 Let's figure out why this is happening together. Send us a DM including the exact iOS version installed. This can be found under Settings &gt; General &gt; About. We'll continue there.,ios_update,
747794,So I have to be online or keep the app open to receive messages. I hope @AppleSupport or Whatsapp fixes it.,@298757 We want to take a look to see if we can help out. DM us which device you're using and the iOS version it's running.,performance_crash,
778952,@AppleSupport updated my iphone 5s to ios 11.02.. Random touch occurs very frequently. Reset doesn't help me either.,@306025 Let's take a closer look at this together. Please reach out to us via DM and we can go from there.,sim_cellular_network,
2041242,Uh @115858 @AppleSupport there might be something wrong with this #macbook #air from 2011.. battery?,"@603540 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist.",battery_charging,2.0
365679,"@AppleSupport Hi, Battery drains super fast,Animation lags,Doesn't keep apps on memory as before. Expecting a fix ASAP","@202621 We're here to help out. Does it happen with all apps, or just a few in particular? Tell us more in DM.",battery_charging,2.0
1658294,@AppleSupport I can’t open my messages app on iPhone X iOS 11.1 please help,@502579 Hi there. We have your DM and will be responding there to help. Thank you.,battery_charging,2.0
554071,@AppleSupport trying to figure out how to turn on applepay cash with this 11.2 update???,"@249276 We're excited to use this as well. Apple Pay Cash was included in the iOS 11.2 update, but is not yet active for new users. Let us know if you have any other questions.",battery_charging,2.0
1467521,@AppleSupport Is there a way to force iCloud Drive to sync on Mac? I signed into iCloud &amp; no files show up. Files are on all other iDevices.,@460636 We can definitely look into this with you. Check out the steps outlined here:,battery_charging,22.0
1503047,@AppleSupport if i restore my phone from a old backup. Will all the new things on my phone be deleted? Like my messages and pictures?,@468857 We’d like to see how we can help. Can you DM us some more details about the issue you're having?,battery_charging,2.0
1720797,@AppleSupport Why do I keep seeing boxes with question marks in them when I have already updated to the newest iOS?,@520796 We'd love to help. Send us a DM including which iOS version you're using and we'll continue together from there.,battery_charging,2.0
1296682,@AppleSupport My phone doesn't like to load any app data or anything when on WiFi. Only on cellular. Restored and tried multiple networks,@196914 We'd like to understand this concern more clearly. Is Wi-Fi not working to stop cellular data usage when you're connected to Wi-Fi?,battery_charging,3.0
1595010,@490099 wtf @AppleSupport get it together,@490098 We'd love to help you with this. Let's follow the steps here:,performance_crash,
382439,@115858 WHY IS THIS HAPPENING!!! @AppleSupport,@206663 Here’s what you can do to work around the issue until it’s fixed in a future software update:,performance_crash,3.0
1443126,"@AppleSupport Already went through this - battery life was perfect until latest update. The problem with the battery draining fast was definitely caused by the latest update. Went through settings multiple times, settings are set the same as before the latest update",@454859 Got it. Reach out to us in DM and let us know when you completed the 11.1.2 update please.,performance_crash,3.0
718096,"@AppleSupport I was billed on Friday for a game I play, despite not spending money that day. I contacted them but no reply yet.",@291953 Thanks for checking in! Please send a DM with the app name and your iPhone model. We'll see you there!,performance_crash,33.0
1711285,@AppleSupport Any way of knowing when my local Apple store will have more iPhone X's?,@518394 We want to help you. Reach out to our team that can assist you with purchasing your iPhone:,performance_crash,3.0
1336268,@AppleSupport Tried both of your support methods last night - poor planning that they were both unavailable during iPhone X sales launch when needed.,@431719 We appreciate your patience. The excitement surrounding iPhone X has created high demand for our Online Store Support team.,performance_crash,3.0
995568,"@AppleSupport iPhone 8 on latest IOS, screen auto lock doesn’t work","@314193 If you go to Settings &gt; Display &amp; Brightness, what is Auto-Lock set to?",performance_crash,
1543530,@478158 @AppleSupport It’s happening to me too and I’m actually about to lose my mind I️ I️ I️ I️ I️ I️ I️ I️ I️,@478157 We're here to help. Check out our article here: DM us any other questions.,performance_crash,2.0
944338,"@AppleSupport @343916 I was thinking about the same thing, IPhone 6a and iOS 11.0.3.. battery &amp; heating is the issue",@343915 We'd like to help. DM us and we can take a closer look at your issues.,device_settings_features,1.0
2894743,"@AppleSupport It happens regardless of devices being attached. It happens across all the of the apps I'm running: Mail, Preview, Chrome, Word, Excel. It happens even if only one app is running.",@802221 Do you have any apps that launch when you start up the Mac? Have you noticed this since day one of the High Sierra upgrade or has it occurred more recently?,ios_update,21.0
1194558,@AppleSupport It does it with every app. And yes it’s up to date with the software.,@400686 Let's take a look at this further for you. Reach out to us in DM.,battery_charging,2.0
824750,I wish I know how iOS 11 drains my #iPhone7 battery so fast! @115858 @AppleSupport #iOS11 #iphonebattery #iPhone8 #iPhone #iOS,@316424 We'd like to help. Are you experiencing this issue on the latest version of iOS 11.0.3?,battery_charging,
1434363,@AppleSupport Hello! I’m listening to @115888 and the music controls at the control center are not working. Why?,"@344778 Thanks for reaching out, we'd love to help. What iOS version are you on? You can check by navigating to Settings &gt; General &gt; About.",performance_crash,3.0
1081514,@AppleSupport Yes twitter etc all work fine,"@375122 Since this happened, have you restarted the iPhone? A fresh start can fix most issues.",performance_crash,33.0
1222384,@AppleSupport I did a network reset to try and connect but appears a Message saying not able to connect to network ....,@406832 Which iOS version is currently installed? DM us your answer and we'll take a look into this together.,apps_app_store,5.0
1976185,.@115858 really does get worse on usability in a big way. we're having the same issue and nothing helps @applesupport,"@585213 We'd like to look into this with you. Please DM us and let us know exactly what's going on, including any steps you've tried.",apps_app_store,
1573652,Hey @AppleSupport if you could fix this whole I️ autocorrect situation that’d be great,@485019 Thanks for reaching out. This article can help:,apps_app_store,6.0
2424371,@AppleSupport someone owe me money or a new phone that is not going to crash everytime a new phone hits the market. Its been going on for too damn long and is unacceptable... FIX IT NOW⚠️,"@696217 Let's work together on a solution for your iPhone's performance. To start, DM us with the model iPhone you're using, exact iOS version (Found by going to Settings &gt; General &gt; About), and the country where you're located.",apple_id_account,5.0
2779357,@AppleSupport why are you guys allowing an app to charge me I canceled the subscription in my phone already two weeks ago. And now I can’t download any apps,@117504 Thanks for reaching out. We received your DM and we'll continue from there.,apps_app_store,44.0
376031,Phone keeps dying fast 🙂 @AppleSupport,@205193 We want to help. Which iOS version is your device running? We want to make sure that you're running the latest version.,performance_crash,3.0
233933,"@AppleSupport Yes from the control center. From yesterday i have observed if i keep my phone locked for some time and unlock it, wifi is on automatically",@171699 This is expected in iOS 11. You can read more about Wi-Fi in Control Center with iOS 11 here:,performance_crash,3.0
2743023,I must say @AppleSupport latest update is poor. Correcting spelling that is already correct. Putting capital letters in. Changing languages ie hôtel not hotel. Woeful. Just woeful.,@768329 Let's see what we can do to get this resolved. Which device are you experiencing this on? Reply in DM to get started.,performance_crash,4.0
1850916,@AppleSupport I’m using an iPad. I’m on iOS 11.0.3,@554062 Thanks for that information. Have you tried any troubleshooting steps so far? Let us know in DM. We'll meet you there.,sim_cellular_network,545.0
286211,Getting distorted outgoing Voice msg quality w the last update to #iPhone &amp; #WhatsApp @4305 @AppleSupport Bluetooth is off but sounds on,@184189 Let's team up to figure out the best path forward. Reach out via DM and we'll take a look.,apps_app_store,5.0
