category_suggestion,customer_tweet_id,customer_text,support_reply,matched_keywords,final_intent,review_notes
calls,2035102,"Worst #customerservice ever @applesupport - Up to 4th Senior Advisor - no follow up, no call back, no resolution, now a hangup @116333",@601678 We always want the best support experience for our customers. Could you Direct Message us so we can get more information?,call,,
calls,311509,"My iPhone 7 doesnthave an ""auto call answering"" option but I sick of it auto answering after few rings. How do I stop it?😡😡💚💚 @AppleSupport",@125404 We'd like to help. Does restarting your iPhone have an impact on the issue? Are you using the phone when it does this?,call,,
calls,273123,@AppleSupport IOS 11.1 UI is broken:Try making a call &amp; at the same time access any other app. The screen splits into 2 &amp; one half its black,"@181230 We'd like to help look into this. To confirm, are you using iOS 11.0.1 or iOS 11.1 beta?",call,,
calls,188639,@AppleSupport I have to restart my phone every single time I want to make a call because the new update messed up with the handset!!!! FIX THIS BUG,@207559 We'd like to know more. Do you have to restart your iPhone when you try to use an app or is it only a phone call?,"call, make a call",,
calls,386734,@AppleSupport Just the phone call,@207559 Would you please join us in DM? We'd like to understand a bit more about what happens when you receive a phone call.,"call, phone call",,
purchases_billing,2723667,@AppleSupport I purchased extra storage but it's not reflecting. Can you help,@764010 We'd be happy to help. DM us what you're seeing available for iCloud storage and how much you purchased to get started.,"purchase, purchased",,
purchases_billing,2493140,Hi @AppleSupport how can I access audiobooks not purchased on iTunes but in the #audiobooks section of my #iTunes library on my #iPhone?,"@711720 We want to help you with Audiobooks. Are these currently in your iTunes library, on your computer?","purchase, purchased",,
purchases_billing,2493135,"@AppleSupport I was expecting them to sync, either via iTunes Match or on iBooks. Ones purchases through iTunes seem to appear in ibooks but others don't","@711720 OK, have you already tried to sync your audiobooks using iTunes on your computer? Check this out:",purchase,,
purchases_billing,1434221,@AppleSupport They were all purchased from iTunes,@452993 Got it! We'd like to have you check out to redownload your purchases. Keep us posted on how it goes.,"purchase, purchased",,
purchases_billing,1423459,@AppleSupport are there any changes or issues with payment service? My method keeps being rejected. It worked perfectly fine a week ago.,@450786 Thanks for reaching out. There hasn't been any changes. We recommend the steps here: Keep us posted.,payment,,
messages_imessage,989638,"@AppleSupport the text reactions aren't working in iMessage. also when I FacetTme from my MacBook, the person I'm talking to can't see me",@354437 We can help with both issues. What happens when trying to use reactions? Does this affect multiple contacts?,"imessage, iMessage, message",,
messages_imessage,989636,"@AppleSupport when I click on a message, the options do not appear on touch bar. And yes the FaceTime doesn't work for any contact","@354437 Have you been able to restart computer? If so, let's perform an SMC reset and then try:",message,,
messages_imessage,981949,@AppleSupport Would love to be able to delete a group of texts messages at the same time. It shouldn't be that difficult!,"@352820 We can help. Are you trying to delete multiple message threads? If so, tell us the device you’re using, and we’ll go from there.","messages, message",,
messages_imessage,326660,@AppleSupport Nope. Just the exclamation mark saying not delivered. Only to android phones. iMessage works perfect,"@193837 If you go to Settings &gt; General &gt; About, and scroll to Version, are you running iOS 11.0 or 11.0.1?","imessage, iMessage, message",,
messages_imessage,187457,@AppleSupport the new update sucks. Do I need my cellular data on to send texts to non iPhone friends?,@159990 Messages to friends not using iPhones are sent through your cellular carrier via SMS/MMS. Here's more:,send texts,,
device_settings_features,333090,Hello @AppleSupport is there a bug for this #iOS11 ? Toggle from airplane mode turns on WiFi and Bluetooth,@195337 Thanks for reaching out. Please DM us which device is having the issue. We'll start there,"bluetooth, wifi, airplane mode, airplane",,
device_settings_features,1824652,@AppleSupport #iOS11 bug when playing audio with bluetooth (music or spotify app): music sometimes stops for a split second :-(,@547751 We'd like to learn a bit more about the behavior you're experiencing. Is the delay when a connection is established?,bluetooth,,
device_settings_features,237547,"Why does my wifi &amp; bt still turned on even i turned em off in control center, it drains my batt ios11.1 @AppleSupport","@172561 Great question! To disable Wi-Fi and Bluetooth, you must visit Settings. Learn more here:","wifi, control center",,
device_settings_features,1795269,"Extremely unimpressed @AppleSupport! Installed #macOSHighSierra &amp; now my #iMac's #bluetooth #keyboard isn't connected, how do I then log in?","@71966 Let's work on this together. Please turn off the keyboard, then turn it back on: Does that resolve it?","bluetooth, keyboard",,
device_settings_features,711075,"@AppleSupport Yep, immediately to the right of the WiFi icon. Spins continuously unless the phone is locked.",@290057 Let's rule out some possible causes. Does it happen if you disable Background App Refresh?,wifi,,
