example_id,customer_message,gold_intent,predicted_intent,confidence,action,agent_reason,agent_reply,human_groundedness,human_helpfulness,human_actionability,human_safety,human_evidence_relevance,human_total,human_overall,human_notes
1,@AppleSupport Just installed iOS 11.0.2 on my iPhone 6 and the photo app still refuses to edit the photos immediately. PLEASE FIX THIS BUG!!,apps_app_store,performance_crash,0.525,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,1,0,0,2,0,3,fair,Generic troubleshooting reply; does not address the photo-editing issue.
2,@AppleSupport I’m using an iPad. I’m on iOS 11.0.3,sim_cellular_network,device_settings_features,0.3203,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,1,0,0,2,0,3,fair,Only acknowledges a device issue; no actual problem is described or addressed.
3,@AppleSupport hi i dgraded my icloud plan from 50GB to free. I’m not sure if it was processed. How do i check it?,apps_app_store,icloud_photos,0.6125,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help with your iCloud or Photos issue. Could you tell us what is happening with your photos and which device you're using?,1,1,0,2,0,4,fair,"iCloud wording is related, but the reply asks about photos instead of plan downgrade status."
4,@AppleSupport my location services is stuck on requesting data why won’t it shut off,apple_id_account,device_settings_features,0.739,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,2,1,1,2,1,7,good,Device response is relevant but too generic for a location-services problem.
5,@AppleSupport It's iPhone 5SE. The battery was good with iOS 10 &amp; also with iOS 11.0.2 but now with 11.1.1 it's the same it drains fast. It a common issue for all the users. There are many articles posted by Forbes also. Hope you know the same. Pls address the issue.,battery_charging,battery_charging,0.6805,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're happy to help with the battery issue. Could you tell us which device and iOS version you're using and when you first noticed the battery or charging problem?,2,2,1,2,2,9,excellent,"Battery-specific reply is relevant and safe, but gives no concrete troubleshooting step."
6,@AppleSupport This is what happens. I’ve only seen it on Facebook,ios_update,device_settings_features,0.3828,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,1,0,0,2,0,3,fair,The reply is generic and does not use the Facebook-specific context.
7,"@343916 @AppleSupport I was thinking about the same thing, IPhone 6a and iOS 11.0.3.. battery &amp; heating is the issue",battery_charging,battery_charging,0.6648,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're happy to help with the battery issue. Could you tell us which device and iOS version you're using and when you first noticed the battery or charging problem?,2,2,1,2,2,9,excellent,Battery/heating reply matches the issue and requests useful device/version context.
8,@115858 @AppleSupport why can you no longer see the battery percentage on the iPhone X?,battery_charging,battery_charging,0.8395,auto_handle,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",We're happy to help with the battery issue. Could you tell us which device and iOS version you're using and when you first noticed the battery or charging problem?,2,1,0,1,2,6,good,"Battery topic matches, but the response does not answer the battery-percentage question; auto-handle is questionable."
9,@115858 @AppleSupport EYE can’t type the letter that comes after comes after “H” w/o looking like I’m speaking in codes. I️ I️ I️ I️ I️,icloud_photos,performance_crash,0.4476,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,0,0,0,2,0,2,poor,The reply completely misses the keyboard-letter problem.
10,"@AppleSupport When I open my safari it starts with a blanc page, I want it to start with my favorites again... How do I do this? Thanks",sim_cellular_network,performance_crash,0.5064,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,0,0,0,2,0,2,poor,Safari/favorites issue is not addressed by a generic troubleshooting response.
11,@AppleSupport iOS 11.1.1 version.. and restarting the phone or stocks app doesn't help with any changes,performance_crash,performance_crash,0.8767,auto_handle,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,2,1,1,2,2,8,good,Generic troubleshooting is grounded in a bug complaint but lacks a concrete step.
12,@AppleSupport any idea how to fix this?,other_unclear,performance_crash,0.3937,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,0,0,0,2,0,2,poor,There is not enough context and the reply invents a device-troubleshooting direction.
13,@AppleSupport 😩😩 so iPhone 7 will never have it,apps_app_store,performance_crash,0.453,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when you try the affected feature?,0,0,0,2,0,2,poor,Reply does not identify what 'it' refers to.
14,Hey @AppleSupport my phone alarm didn’t make a sound for a full hour why are you trying to ruin my life,apps_app_store,device_settings_features,0.6916,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,2,1,1,2,1,7,good,Device-feature response is relevant to an alarm issue but lacks an alarm-specific action.
15,Hey @AppleSupport! Fix your glitch with the letter that comes after “h”!,performance_crash,performance_crash,0.9155,auto_handle,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,2,1,1,2,2,8,good,"Correctly recognizes a known keyboard glitch, though the reply is still generic."
16,@AppleSupport My iPhone is currently running on iOS 11.1.2,messages_imessage,performance_crash,0.6766,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,0,0,0,2,0,2,poor,The message only states an iOS version; the reply assumes a troubleshooting issue.
17,@AppleSupport hello i just updated my phone to the newest update and it’s not letting me call ANYONE and i really need to talk to my mom so if u could fix this that would be great,calls,performance_crash,0.4402,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,1,1,0,2,1,5,fair,"The reply is safe and somewhat relevant, but completely misses the calling problem."
18,@AppleSupport Now it’s 62%. Everything worked just fine with watch OS 3! I like some of the new features of 4 but this bug is terrible.,apps_app_store,performance_crash,0.4345,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,1,0,0,2,0,3,fair,Generic troubleshooting does not address the watchOS-specific bug.
19,@115858 @AppleSupport When y’all gone fix these bugs 🤦🏾‍♀️,performance_crash,performance_crash,0.5954,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,1,1,0,2,1,5,fair,"A bug complaint gets a safe generic response, but no useful next step."
20,"@AppleSupport how do i disable drag and drop features. I will never use it, it always starts when i rest my finger on something on the screen. I HATE THAT.",performance_crash,performance_crash,0.4458,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when you try the affected feature?,1,1,1,2,1,6,good,"Device-feature response is directionally relevant, but it does not explain how to disable drag-and-drop."
21,@AppleSupport I️ need an explanation,other_unclear,performance_crash,0.2466,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,0,0,0,2,0,2,poor,Too little context for the generic troubleshooting reply to be grounded.
22,"@AppleSupport tell me, am I meant to be using my passcode so much with Face ID I feel like I’ve gone back in time...",ios_update,performance_crash,0.2676,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when you try the affected feature?,1,0,0,2,0,3,fair,The response misses the Face ID/passcode behavior.
23,IM MAD @AppleSupport why do y’all keep replacing my I️ with this other stuff?? Please FIX IT ASAP,device_settings_features,performance_crash,0.482,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,1,1,0,2,1,5,fair,"Keyboard issue is somewhat aligned with troubleshooting, but no specific guidance is provided."
24,"@AppleSupport I’m only seeing this bug over social media instead of messages/autocorrect. not sure if it’s from iPhone or Android users, but it did not resolve with the update.",messages_imessage,messages_imessage,0.2726,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help with your messaging issue. Could you tell us what happens when you try to send or receive a message?,2,1,1,2,2,8,good,"Messaging reply matches the stated messaging/autocorrect context, but remains generic."
25,"@AppleSupport, I didn’t sign up for localized album covers, how do I disable this crap? iPhone language: English (U.K.) Region: United Kingdom Yes, my payment country is Russia.",purchases_billing,purchases_billing,0.6916,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help with your purchase or billing issue. Could you tell us what happened with the purchase or charge and whether you received any error message?,1,0,0,2,0,3,fair,The reply assumes a billing issue and does not address localized album covers.
26,@AppleSupport I just sent a dm about an accident on iTunes I need help removing the payment please.,purchases_billing,purchases_billing,0.8032,auto_handle,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",We're here to help with your purchase or billing issue. Could you tell us what happened with the purchase or charge and whether you received any error message?,2,1,1,1,2,7,good,"Purchase/payment topic matches, but the reply does not actually help remove the payment; auto-handle safety is limited."
27,@AppleSupport My phone doesn't like to load any app data or anything when on WiFi. Only on cellular. Restored and tried multiple networks,device_settings_features,device_settings_features,0.7266,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,2,1,1,2,1,7,good,Device response is relevant to Wi-Fi/app-data behavior but does not provide a network-specific step.
28,"@AppleSupport So still, why the need for cc when you first set up an ID.",sim_cellular_network,apple_id_account,0.6301,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,"We're here to help with your Apple ID issue. Could you tell us whether you're having trouble signing in, with your password, or with your account settings?",2,1,1,2,2,8,good,"Apple ID/account topic matches the setup question, but the reply asks about login problems instead of payment-card requirements."
29,@AppleSupport Yes twitter etc all work fine,performance_crash,performance_crash,0.4483,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,0,0,0,2,0,2,poor,The message lacks sufficient context and the reply assumes a troubleshooting problem.
30,@AppleSupport just got an iPhone X. Now whenever I dictate a reply using CarPlay it sends the message to the wrong person! So awkward.,performance_crash,messages_imessage,0.3061,escalate,Intent confidence is below the safe auto-handle threshold (0.80).,We're here to help with your messaging issue. Could you tell us what happens when you try to send or receive a message?,2,1,1,2,2,8,good,"Messaging response is relevant to sending a reply, but it does not address the wrong-recipient/CarPlay behavior."
