category_suggestion,customer_tweet_id,customer_text,support_reply,matched_keywords,final_intent,review_notes
calls,574920,"@applesupport how do I make a genius bar appointment? the webpage is 403 forbidden. I called the store number, but I am on hold.",@255250 What is the reservation regarding? We're happy to help. You can also try using the following link:,"call, called",,
calls,2035102,"Worst #customerservice ever @applesupport - Up to 4th Senior Advisor - no follow up, no call back, no resolution, now a hangup @116333",@601678 We always want the best support experience for our customers. Could you Direct Message us so we can get more information?,call,,
calls,317241,@AppleSupport Whenever i try to download a game thats called roblox it crashes please fix please reply.,"@191709 We’ll be glad to see how we can help. To clarify, the App Store crashes when you try to download the game?","call, called",,
calls,1314528,"Hey @AppleSupport, will the #HighSierra upgrade automatically convert my HFS+ formatted hard drive to the new APFS?",@427111 That's a great question. Learn more about APFS and macOS High Sierra drive conversions here:,call,,
calls,311509,"My iPhone 7 doesnthave an ""auto call answering"" option but I sick of it auto answering after few rings. How do I stop it?😡😡💚💚 @AppleSupport",@125404 We'd like to help. Does restarting your iPhone have an impact on the issue? Are you using the phone when it does this?,call,,
calls,273123,@AppleSupport IOS 11.1 UI is broken:Try making a call &amp; at the same time access any other app. The screen splits into 2 &amp; one half its black,"@181230 We'd like to help look into this. To confirm, are you using iOS 11.0.1 or iOS 11.1 beta?",call,,
calls,238752,So why does Wi-Fi and Bluetooth automatically come on after airplane models turned off @applesupport #jokephone,"@172791 We're here to help. Are you turning off Wi-Fi and Bluetooth in the Control Center, or through Settings on your device?",call,,
calls,188639,@AppleSupport I have to restart my phone every single time I want to make a call because the new update messed up with the handset!!!! FIX THIS BUG,@207559 We'd like to know more. Do you have to restart your iPhone when you try to use an app or is it only a phone call?,"call, make a call",,
calls,386734,@AppleSupport Just the phone call,@207559 Would you please join us in DM? We'd like to understand a bit more about what happens when you receive a phone call.,"call, phone call",,
calls,291697,@185468 @AppleSupport Two more issues I noticed with iPhone 6s 1-why the WiFi is sometime activated automatically? 2-the brightness is automatically increasing.,@185467 Thanks for reaching out. DM where you are seeing Wi-Fi enable itself so we can help out.,call,,
purchases_billing,2723667,@AppleSupport I purchased extra storage but it's not reflecting. Can you help,@764010 We'd be happy to help. DM us what you're seeing available for iCloud storage and how much you purchased to get started.,"purchase, purchased",,
purchases_billing,2493140,Hi @AppleSupport how can I access audiobooks not purchased on iTunes but in the #audiobooks section of my #iTunes library on my #iPhone?,"@711720 We want to help you with Audiobooks. Are these currently in your iTunes library, on your computer?","purchase, purchased",,
purchases_billing,2493135,"@AppleSupport I was expecting them to sync, either via iTunes Match or on iBooks. Ones purchases through iTunes seem to appear in ibooks but others don't","@711720 OK, have you already tried to sync your audiobooks using iTunes on your computer? Check this out:",purchase,,
purchases_billing,1434221,@AppleSupport They were all purchased from iTunes,@452993 Got it! We'd like to have you check out to redownload your purchases. Keep us posted on how it goes.,"purchase, purchased",,
purchases_billing,244729,"@AppleSupport how long is it safe to charge a mac,iphone,ipad,or ipod for without lowering the performance of the device or damaging it?",@174127 Thanks for reaching out! You can find all of our battery information here:,charge,,
purchases_billing,244728,@AppleSupport Is it safe to charge those devices overnight? I couldn't find the direct answer to that in the page you sent.,"@174127 That is fine, yes. It will charge to 100% and then stop from there.",charge,,
purchases_billing,512335,@AppleSupport can’t find my subscription button in my account settings. Help! 😵,@237821 We can help with this. Can you tell us what device you're using and the type of subscription you're looking for?,subscription,,
purchases_billing,512333,@AppleSupport Iphone7+ I am tryin to manage subscription but I dont have the manage button. 😫,@237821 We have a guide for managing subscriptions you can see here: Let us know if we can help further.,subscription,,
purchases_billing,512329,@AppleSupport I cant find the MANAGE SUBSCRIPTION. See screenshot. I only have manage itunes and special offers.,"@237821 We see what you mean. In this case, we'd suggest contacting Spotify directly to see about ending your subscription.",subscription,,
purchases_billing,1423459,@AppleSupport are there any changes or issues with payment service? My method keeps being rejected. It worked perfectly fine a week ago.,@450786 Thanks for reaching out. There hasn't been any changes. We recommend the steps here: Keep us posted.,payment,,
messages_imessage,363663,"@AppleSupport Howdy. Today I started getting a ""No Sim Card Installed"" message on my iPhone 6. I'm running 9.2.1 ???",@202183 We would love to help fix this. Follow these steps and DM us if you need further assistance:,message,,
messages_imessage,989638,"@AppleSupport the text reactions aren't working in iMessage. also when I FacetTme from my MacBook, the person I'm talking to can't see me",@354437 We can help with both issues. What happens when trying to use reactions? Does this affect multiple contacts?,"imessage, iMessage, message",,
messages_imessage,989636,"@AppleSupport when I click on a message, the options do not appear on touch bar. And yes the FaceTime doesn't work for any contact","@354437 Have you been able to restart computer? If so, let's perform an SMC reset and then try:",message,,
messages_imessage,981949,@AppleSupport Would love to be able to delete a group of texts messages at the same time. It shouldn't be that difficult!,"@352820 We can help. Are you trying to delete multiple message threads? If so, tell us the device you’re using, and we’ll go from there.","messages, message",,
messages_imessage,309909,@AppleSupport why won't iOS 11 install on my iPhone? Keep getting this message?,@189988 Thanks for reaching out. Try the steps here and let us know if it helps:,message,,
messages_imessage,326660,@AppleSupport Nope. Just the exclamation mark saying not delivered. Only to android phones. iMessage works perfect,"@193837 If you go to Settings &gt; General &gt; About, and scroll to Version, are you running iOS 11.0 or 11.0.1?","imessage, iMessage, message",,
messages_imessage,187457,@AppleSupport the new update sucks. Do I need my cellular data on to send texts to non iPhone friends?,@159990 Messages to friends not using iPhones are sent through your cellular carrier via SMS/MMS. Here's more:,send texts,,
messages_imessage,187455,@AppleSupport SMS on. Cellular data off. Still will not deliver photo text messages,@159990 Let's take a closer look into this. Send us a DM to get started.,"text message, text messages, messages, message",,
messages_imessage,2042247,"@AppleSupport also I haven't been able to update my phone in a while, it's got iOS 10.0.02 right now.Error message for every update since.",@603899 Let's discuss your options for your battery and help with your software updates. Please DM us with the link below to start.,message,,
messages_imessage,242597,"@AppleSupport Major problem is this disappears, and I have to shut the phone off. 2nd is I can only see half the message. It’s stuck under the text bar","@139743 Besides shutting off your device, are there any other troubleshooting steps that you tried on your own? Let us know in DM.",message,,
device_settings_features,1468296,@applesupport I was used Wi-Fi connection,@460805 Thank you. Have you tried without Wi-Fi or on another network?,wi-fi,,
device_settings_features,333090,Hello @AppleSupport is there a bug for this #iOS11 ? Toggle from airplane mode turns on WiFi and Bluetooth,@195337 Thanks for reaching out. Please DM us which device is having the issue. We'll start there,"bluetooth, wifi, airplane mode, airplane",,
device_settings_features,2762013,"@AppleSupport figured out i could hold sleep/wake button and side volume button to bypass the slide to restart. thank god im a genius,","@175619 We've received your DM, and we'll continue with you there. Be on the lookout for a reply.",volume,,
device_settings_features,512335,@AppleSupport can’t find my subscription button in my account settings. Help! 😵,@237821 We can help with this. Can you tell us what device you're using and the type of subscription you're looking for?,settings,,
device_settings_features,1710649,"Hey, @AppleSupport, my iPhone 7 keeps respringing when trying to setup for the first time. Trying over both WiFi and iTunes, same problem.",@518224 We definitely want to get this corrected for you! What are you seeing on the screen when this happens? Do you get an error?,wifi,,
device_settings_features,1824652,@AppleSupport #iOS11 bug when playing audio with bluetooth (music or spotify app): music sometimes stops for a split second :-(,@547751 We'd like to learn a bit more about the behavior you're experiencing. Is the delay when a connection is established?,bluetooth,,
device_settings_features,206920,"#iOS11 so many bugs, phone freezing, wifi switches on its own, battery drains fast #applesupport @AppleSupport",@164996 We want you to enjoy iOS 11. We can help! Send us a DM and we'll look into this together.,wifi,,
device_settings_features,237547,"Why does my wifi &amp; bt still turned on even i turned em off in control center, it drains my batt ios11.1 @AppleSupport","@172561 Great question! To disable Wi-Fi and Bluetooth, you must visit Settings. Learn more here:","wifi, control center",,
device_settings_features,1795269,"Extremely unimpressed @AppleSupport! Installed #macOSHighSierra &amp; now my #iMac's #bluetooth #keyboard isn't connected, how do I then log in?","@71966 Let's work on this together. Please turn off the keyboard, then turn it back on: Does that resolve it?","bluetooth, keyboard",,
device_settings_features,711075,"@AppleSupport Yep, immediately to the right of the WiFi icon. Spins continuously unless the phone is locked.",@290057 Let's rule out some possible causes. Does it happen if you disable Background App Refresh?,wifi,,
