customer_message,gold_intent,predicted_intent,confidence,action,intent_correct,reply,reason,evidence_reason
@AppleSupport Screen typing on its own either a malfunction or i have ghost,performance_crash,performance_crash,0.5709,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport iOS 11.1.1 version.. and restarting the phone or stocks app doesn't help with any changes,performance_crash,performance_crash,0.8767,auto_handle,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
"@AppleSupport No, I only get this issue when I receive messages. I’m using the iPhone 8 Plus",performance_crash,messages_imessage,0.3663,escalate,False,We're here to help with your messaging issue. Could you tell us what happens when you try to send or receive a message?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport No. It just flashes at the top of the screen like it’s going to play, but nothing happens.",device_settings_features,performance_crash,0.4644,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport It reads ""watchOS 3.2.2 - Your software is up to date.""",apps_app_store,performance_crash,0.7039,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport Hi, thanks! I’m running 11.1.1",icloud_photos,performance_crash,0.5652,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@460619 @AppleSupport Guys that’s true, i did update to ios11.1 on my 7+ &amp; the battery is the worst 🤨🤯 What’s going on",messages_imessage,ios_update,0.687,escalate,False,We're happy to help with the iOS update issue. Could you tell us which device and iOS version you're currently using and what happens when you try to update?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport o IOS11 tá dando problema com o Wi-Fi e não conecta, em todos os Androids aqui de casa funciona internet, no meu cel não 🙄",purchases_billing,device_settings_features,0.8459,auto_handle,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
@726036 @115858 @AppleSupport My iPhone 7+ runs out of charge so quick it’s unbelievable,battery_charging,performance_crash,0.5885,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport,other_unclear,performance_crash,0.4261,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport Yes, but do Dolby Vision films *also* support my HDR10 TV, or are the formats mutually exclusive?",other_unclear,device_settings_features,0.3145,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport I found a workaround by just manually selecting it in the predictive text. Is it going to be fixed soon?,performance_crash,performance_crash,0.3581,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport Gee, where do I start? Can no longer use the letter “I️”, the iMessage is supper laggy, phone randomly freezes. Mind you, these issues never happened before ios11",performance_crash,performance_crash,0.5517,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport Ios ver 11.1.2. I tried with booth wifi and cellular data. All aps cannot be updated and downloaded.,apps_app_store,device_settings_features,0.6287,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport I stopped using my Apple Music and now all my iTunes music purchases are gone! From when I the iPhone 3g. Where is my music!,purchases_billing,purchases_billing,0.7498,escalate,True,We're here to help with your purchase or billing issue. Could you tell us what happened with the purchase or charge and whether you received any error message?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport any idea how to fix this?,other_unclear,performance_crash,0.3937,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport And I don’t have the Mac on me at the moment.,other_unclear,performance_crash,0.4389,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@115858 @AppleSupport EYE can’t type the letter that comes after comes after “H” w/o looking like I’m speaking in codes. I️ I️ I️ I️ I️,icloud_photos,performance_crash,0.4476,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport hi. Can you help me fix my activity ring of my Apple Watch?,sim_cellular_network,device_settings_features,0.1991,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport I received many emails like this one, how to stop these spammers!! 🤔",apple_id_account,device_settings_features,0.3021,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport Thank you for the speedy reply. But it still occurs sometimes. That is better than every time.,other_unclear,performance_crash,0.622,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
Such a wonderful experience with sorting out the issue I had with logging in to my iCloud through Safari. Thank you @AppleSupport !,apple_id_account,icloud_photos,0.5106,escalate,False,We're here to help with your iCloud or Photos issue. Could you tell us what is happening with your photos and which device you're using?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport Yes still getting the same pop me to solve this.,other_unclear,performance_crash,0.3363,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"Hey @AppleSupport how do i disable drag and drop features. I will never use it, it always starts when i rest my finger on something on the screen. I HATE THAT.",performance_crash,performance_crash,0.4458,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport what the hell is this? My phone has been doing this every 5 minutes since I bought it almost a month ago. I’ve only bought more iCloud storage &amp; set up Apple Pay.. and both of those are working fine.,other_unclear,icloud_photos,0.5063,escalate,False,We're here to help with your iCloud or Photos issue. Could you tell us what is happening with your photos and which device you're using?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
