customer_tweet_id,customer_text,support_reply,intent,customer_time,support_time
363663,"@AppleSupport Howdy. Today I started getting a ""No Sim Card Installed"" message on my iPhone 6. I'm running 9.2.1 ???",@202183 We would love to help fix this. Follow these steps and DM us if you need further assistance:,sim_cellular_network,2016-03-04 01:19:41+00:00,2016-03-04 20:44:00+00:00
2921551,@AppleSupport Is family shared iCloud storage a functionality I can't find or is this something that doesn't exist (yet)?,@808566 We'll happy to work with you and answer your questions. Please DM us where we have more room.,icloud_photos,2016-10-06 09:25:20+00:00,2016-10-06 13:44:00+00:00
2058732,@AppleSupport My icloud account has been locked for security reasons. Even my Apple ID is locked. I can't receive my confirmation code.,@608890 We're happy to assist. This article can help you to unlock your account: DM us with any questions.,apple_id_account,2016-11-06 07:35:52+00:00,2016-11-06 14:59:31+00:00
989648,@AppleSupport my touch bar isn't working!,@354437 We want your Mac to always work as expected. Does the Touch Bar work in any apps outside of Messages?,device_settings_features,2017-01-14 21:59:03+00:00,2017-01-14 22:11:26+00:00
1468297,"Hei @AppleSupport, I want complain about @118936, why my account when download the app from my iPhone or Macbook very slow?",@460805 Downloads are dependent on the network connection. Are you doing this over Wi-Fi or cellular data?,performance_crash,2017-01-21 00:39:48+00:00,2017-01-21 00:43:27+00:00
1468296,@applesupport I was used Wi-Fi connection,@460805 Thank you. Have you tried without Wi-Fi or on another network?,device_settings_features,2017-01-21 13:25:41+00:00,2017-01-21 16:01:56+00:00
989642,@AppleSupport hey my touch bar isn't working again. In iTunes this time,@354437 We're here to help. Is it only having issues with iTunes? What version of macOS are you currently running?,device_settings_features,2017-02-15 23:04:28+00:00,2017-02-15 23:15:00+00:00
989632,@AppleSupport Hey @AppleSupport the touch bar is not working in google chrome watching TV! Is it normal to have so many bugs with this,"@354437 Thanks for reaching out, we'd be happy to look into this. To start what software version are you using on your MacBook?",device_settings_features,2017-04-14 02:12:01+00:00,2017-04-14 02:30:26+00:00
2905810,"@AppleSupport Hello. No, not restarted, Sierra 10.12.4. No time for restarting right now, although that _does_ fix stuff when macOS gets unstable.","@804670 After you restart, let us know the results.",performance_crash,2017-05-13 20:09:40+00:00,2017-05-13 20:16:28+00:00
2905808,@AppleSupport Works after restarting. Ideally I wouldn’t have to restart every time Safari/Preview/etc acted up… :-/,@804670 Thank you for letting us know. How often do you power off your Mac?,performance_crash,2017-05-13 20:31:00+00:00,2017-05-13 20:39:30+00:00
935894,@AppleSupport the page to reset your Apple ID is not working,@341873 We can help. What's going on with it?,apple_id_account,2017-08-14 15:42:12+00:00,2017-08-14 15:49:00+00:00
1254545,Love my new MacBook Pro... Hate the fact my 6 year old Pro has better battery life than this brand new one😒 #Applefails @115858 @AppleSupport,"@414265 Let's help. To maximize your battery performance, please visit:",battery_charging,2017-08-31 01:59:31+00:00,2017-08-31 02:07:00+00:00
317241,@AppleSupport Whenever i try to download a game thats called roblox it crashes please fix please reply.,"@191709 We’ll be glad to see how we can help. To clarify, the App Store crashes when you try to download the game?",performance_crash,2017-09-20 07:05:01+00:00,2017-09-20 14:41:00+00:00
1332615,@AppleSupport @430879 The app for apple watch Crash since iOS 11 GM,@430877 We can help! Check out this article with next steps for your applications issue:,performance_crash,2017-09-20 19:56:32+00:00,2017-09-20 21:20:31+00:00
2762013,"@AppleSupport figured out i could hold sleep/wake button and side volume button to bypass the slide to restart. thank god im a genius,","@175619 We've received your DM, and we'll continue with you there. Be on the lookout for a reply.",device_settings_features,2017-09-21 04:50:43+00:00,2017-09-21 13:11:00+00:00
1182435,@AppleSupport iOS11 is lagging too much! Please fix this!🙏🏻,"@398070 We'll be happy to look into what's going on. To start, can you tell us which iOS device you're using?",performance_crash,2017-09-21 08:33:08+00:00,2017-09-21 14:13:01+00:00
512335,@AppleSupport can’t find my subscription button in my account settings. Help! 😵,@237821 We can help with this. Can you tell us what device you're using and the type of subscription you're looking for?,purchases_billing,2017-09-21 21:17:59+00:00,2017-09-21 22:11:32+00:00
512333,@AppleSupport Iphone7+ I am tryin to manage subscription but I dont have the manage button. 😫,@237821 We have a guide for managing subscriptions you can see here: Let us know if we can help further.,purchases_billing,2017-09-21 22:12:48+00:00,2017-09-21 22:40:00+00:00
311879,@AppleSupport App Store and iTunes will not load after updating to iOS 11?!?! Please help,"@15431 We're here to help. To better assist, what error or message do you receive when attempting the access those stores?",apps_app_store,2017-09-22 14:47:07+00:00,2017-09-22 16:00:33+00:00
1710649,"Hey, @AppleSupport, my iPhone 7 keeps respringing when trying to setup for the first time. Trying over both WiFi and iTunes, same problem.",@518224 We definitely want to get this corrected for you! What are you seeing on the screen when this happens? Do you get an error?,device_settings_features,2017-09-23 12:46:28+00:00,2017-09-23 15:40:34+00:00
324301,@AppleSupport This is the worst software update ever. My iPhone keeps crashing all the time when using Spotify and Instagram or Twittee app.,"@341923 Hi! To clarify, do you mean that those specific apps are closing when using them?",performance_crash,2017-09-23 17:52:30+00:00,2017-09-23 19:37:28+00:00
512329,@AppleSupport I cant find the MANAGE SUBSCRIPTION. See screenshot. I only have manage itunes and special offers.,"@237821 We see what you mean. In this case, we'd suggest contacting Spotify directly to see about ending your subscription.",purchases_billing,2017-09-24 01:23:57+00:00,2017-09-24 02:50:00+00:00
946700,@AppleSupport I have lost count of my phone crashes/lock ups... What type of pos did you rollout?... Forget what testing is? #wtf,@344489 We'd like to help however we can. Send us a DM and let us know if the issues happens when using certain apps or services.,performance_crash,2017-09-24 02:15:42+00:00,2017-09-24 04:06:53+00:00
295772,@115858 @AppleSupport iOS11 is very heavy on the iPhone 6 battery. Battery drains out quickly as compared to previous OS. Pls look into it,"@186444 We're happy to help. Try these tips for battery life, and let us know if you still have an issue:",battery_charging,2017-09-25 07:06:35+00:00,2017-09-25 13:14:29+00:00
284771,@AppleSupport since upgrade to iOS 11 my iPhone 7’s battery life is even worse than before! i can watch the % drop as I’m using my phone! 👎,@183840 We'd be happy to look into this with you. Let's start by seeing if the info here helps:,battery_charging,2017-09-25 17:25:39+00:00,2017-09-25 18:04:34+00:00
1517715,@AppleSupport I do everything still can't to activate from iTunes or Sim card,"@472118 Thanks, let's move to DM for a closer look. Do you receive the same error message each time?",sim_cellular_network,2017-09-26 03:53:53+00:00,2017-09-26 12:37:29+00:00
206920,"#iOS11 so many bugs, phone freezing, wifi switches on its own, battery drains fast #applesupport @AppleSupport",@164996 We want you to enjoy iOS 11. We can help! Send us a DM and we'll look into this together.,battery_charging,2017-09-26 06:07:03+00:00,2017-09-26 13:25:01+00:00
242508,"@AppleSupport iOS 11, iCloud Photo Library turned on yes","@173606 Do you have access to a computer with iTunes installed on it? If so, does the storage match there?",icloud_photos,2017-09-27 13:14:17+00:00,2017-09-27 14:44:00+00:00
281879,@AppleSupport my 7plus keeps freezing since I updated to iOS11. I have to keep restarting it. This is not good.,"@149004 We want to help. After restarting, how long before it happens? Are you using a certain app when it becomes unresponsive?",performance_crash,2017-09-28 00:48:16+00:00,2017-09-28 01:06:33+00:00
281876,@AppleSupport I wasn’t even using Safari that time. The freezing keeps happening more and more and I don’t want to keep restarting my phone,@149004 Thanks. DM us if you've already updated to iOS 11.0.1 and we'll continue support there.,performance_crash,2017-09-28 01:25:53+00:00,2017-09-28 01:41:00+00:00
1624946,@AppleSupport how can I downgrade to IOS 10 again? My phone is ridiculously slow after upgrading and I prefer the roundness of the previous😟,"@497642 We'd like to help. So we know a little more about your iPhone, what version of iOS do you have installed?",performance_crash,2017-09-28 20:06:06+00:00,2017-09-28 21:27:00+00:00
304321,@AppleSupport @115858 OMG!!! I have an iphone 6s+ and it’s so freaking slow and unresponsive with IOS11! WORST.UPDATE.EVER!!!!!!!,@188681 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance.,performance_crash,2017-09-30 06:54:05+00:00,2017-09-30 13:27:30+00:00
2057766,"My iPhone has been the biggest piece of fucking shit since the update. Crashes constantly, shit as fuck battery @AppleSupport this is a joke",@608585 We want you to be able to depend on your iPhone and we're here to help. DM us a bit about what's going on.,performance_crash,2017-09-30 09:38:21+00:00,2017-09-30 14:21:31+00:00
358761,A UI glitch with iOS 11.0.1 @AppleSupport,@200970 Thanks for bringing this to our attention. Let's start with this:,performance_crash,2017-09-30 11:22:04+00:00,2017-09-30 14:42:35+00:00
238752,So why does Wi-Fi and Bluetooth automatically come on after airplane models turned off @applesupport #jokephone,"@172791 We're here to help. Are you turning off Wi-Fi and Bluetooth in the Control Center, or through Settings on your device?",device_settings_features,2017-09-30 15:42:11+00:00,2017-09-30 17:16:25+00:00
758356,@AppleSupport poor control center for ios 11.. disconnects wifi but does not turn off or on from control center,@301213 Thank you for contacting us. You can turn off Wi-Fi under Settings. More info is here:,device_settings_features,2017-09-30 16:25:34+00:00,2017-09-30 17:57:28+00:00
1315478,Forgot my password for my MacBook. Resetting with iTunes /iCloud is proving to be difficult @applesupport 😭😓,@427316 We'd love to help in any way we can. Have you had a chance to follow the steps in this guide?,apple_id_account,2017-10-01 04:20:50+00:00,2017-10-01 12:50:27+00:00
1405264,#iOS11 made the alarm clock quieter. Volume all the way up yet the alarm is about 50% quieter almost slept in. @AppleSupport,@446699 Let's get this sorted out. How are you adjusting the volume? Are you doing it from Settings or Control Center?,device_settings_features,2017-10-01 10:43:19+00:00,2017-10-01 14:18:35+00:00
1695849,My iPhone battery percentage just went 20 19 18 17 16 15 14 13 12 11 10 9 As quickly as your read that. WTF @AppleSupport,@514488 We have some great steps on our website that can help maximize your battery life. Check it out here:,battery_charging,2017-10-01 13:49:34+00:00,2017-10-01 15:07:01+00:00
205675,@AppleSupport due to delivery probs from EE of Apple Watch if I purchased series 3 Watch in USA would it work in Uk on EE,@164735 Great question! It's not possible to use an Apple Watch from a different country with your cellular plan.,purchases_billing,2017-10-01 15:52:46+00:00,2017-10-01 16:36:00+00:00
242496,"@AppleSupport I really dislike this new update, it keeps freezing my phone. And the music app doesn’t show the music on my phone",@173603 Let's see what could be causing this. Is your iPhone unresponsive when using or opening any particular applications?,performance_crash,2017-10-01 16:21:45+00:00,2017-10-01 17:02:00+00:00
235045,My iPhone after restarting and restarting from the update officially gave up on me whatever I do it won't turn on yay @AppleSupport,@171976 We are here to help you! Please try these steps:,performance_crash,2017-10-02 04:27:24+00:00,2017-10-02 12:47:29+00:00
1554830,@115858 @AppleSupport excessive heating and battery drain out if iphone 7 plus immidiately after ioS11. Look fwd to samasung galaxy S8,@480876 Let’s investigate this. Do you notice that your iPhone is behaving this way when using a specific app or feature?,battery_charging,2017-10-02 09:51:51+00:00,2017-10-02 13:45:01+00:00
244883,@AppleSupport why won’t Siri work on my brand new Mac?! It just keeps saying Siri Audio Problem?!,"@174148 Let's help get Siri working. To get started, is Siri currently enabled under System Preferences &gt; Siri?",device_settings_features,2017-10-02 12:39:25+00:00,2017-10-02 14:32:49+00:00
1758633,My iPhone 7 Plus has lagging too much lately @115858 @AppleSupport,"@529394 Hey, we can check out your iPhone together to see what's going on. First, can you tell us the exact iOS version?",performance_crash,2017-10-02 16:18:27+00:00,2017-10-02 17:13:30+00:00
236420,@AppleSupport Yup and I've even turned the iPad off and back on again. It was working fine before the iOS update,@148659 What happens when you launch the app? Will the app start up at all?,ios_update,2017-10-02 20:22:42+00:00,2017-10-02 20:41:42+00:00
2076315,@AppleSupport My phone has lost its pace aftet iOS update. Is there any way to switch back to iOS 10.3.3?,@614073 We’re happy to help with any complications you are facing. Have you taken any troubleshooting steps yet? Let us know via DM.,ios_update,2017-10-02 21:33:40+00:00,2017-10-02 22:04:30+00:00
178646,"Dear @AppleSupport, I noticed the video in App Store when it’s viewed in full screen, it gives me only 6 seconds of the video and re loops",@158108 Thanks for reaching out to us. We are always happy to help. Can you clarify which app's video you're referring to?,apps_app_store,2017-10-03 04:30:20+00:00,2017-10-03 13:07:00+00:00
243125,@AppleSupport What's with the 3D Touch Lag?,@173734 We'll be happy to look into this with you. Which device are you having this problem on?,performance_crash,2017-10-03 05:49:12+00:00,2017-10-03 13:26:01+00:00
178696,"@AppleSupport Guys, I ended up doing a factory reset on my 6s Gig. after it died from IOS 11. I am begging you to assist me. My phone is still frozen.",@162990 We’d be happy to help with your iPhone. Let us know which version of iOS 11 you’re running in DM. We’ll continue there.,performance_crash,2017-10-03 08:13:46+00:00,2017-10-03 13:52:31+00:00
291697,@185468 @AppleSupport Two more issues I noticed with iPhone 6s 1-why the WiFi is sometime activated automatically? 2-the brightness is automatically increasing.,@185467 Thanks for reaching out. DM where you are seeing Wi-Fi enable itself so we can help out.,device_settings_features,2017-10-03 08:23:50+00:00,2017-10-03 13:58:28+00:00
237348,"update .. was slow catching, definitely @115858 missed a lot !! help me @AppleSupport #ios11 #iosfail #AppleSupport #wherearemyiphone",@172523 We'd love to help with any issues or questions you have about the latest update. Please let us know exactly what's going on.,performance_crash,2017-10-03 10:40:04+00:00,2017-10-03 14:27:30+00:00
239562,@AppleSupport After latest iOS update Spotify remains paused in my car. Unable to play. (Mercedes 2013),@172920 Hi there. Playing your music is very important. Are you able to play music from the native Music App on your car?,ios_update,2017-10-03 11:38:32+00:00,2017-10-03 14:31:29+00:00
2718240,@AppleSupport when can we expect a fix for iOS 11.0.1? Phone somehow snoozed my alarm twice and never went off. Had to call into work late.,@762881 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started.,device_settings_features,2017-10-03 12:36:33+00:00,2017-10-03 14:47:32+00:00
211166,"@AppleSupport is this planned obsolescence or is there actually a way to get my 6 plus working well with iOS 11, particularly Siri","@166021 Let us help. Tell us more about what happens with Siri. Is Siri slow to respond, or unresponsive altogether?",device_settings_features,2017-10-03 12:38:53+00:00,2017-10-03 14:45:30+00:00
267287,@AppleSupport Worst ios update ever. Screwed my 6s completely.,@179710 We'd like to help. Please meet us in DM and we'll take a further look at this together.,ios_update,2017-10-03 13:04:14+00:00,2017-10-03 14:52:33+00:00
238925,"Hello @AppleSupport I have an issue unlocking my Apple ID , can't remember two of my security questions and the email method is not working",@172817 Hello. For issues with unlocking your Apple ID reach out to our Account Security team here:,apple_id_account,2017-10-03 13:30:22+00:00,2017-10-03 15:09:52+00:00
187944,@AppleSupport lock screen is freezing quite often. Help ASAP,@160103 Let's take a look at this together. What do you do to make the lock screen respond again?,performance_crash,2017-10-03 13:44:15+00:00,2017-10-03 15:14:26+00:00
240109,@AppleSupport Yes; the quick on/off toggle in the ctl ctr slideup don't pwr up or dwn the wifi/bluetooth. I'm struggling to see how this is a good change?,@173033 They will just disconnect from the Control Center. Settings is where you can turn them off:,device_settings_features,2017-10-03 13:52:14+00:00,2017-10-03 15:20:42+00:00
237991,@AppleSupport there’s a software issue. I’m listening to a podcast rn and control center doesn’t show it.,@172638 Let us help. Does this seem to persist after quitting the Music app and rebooting the device:,device_settings_features,2017-10-03 13:54:41+00:00,2017-10-03 15:42:01+00:00
242428,@AppleSupport Why is iCloud web interface so slow?,@173583 Thanks for reaching out to us. Can you tell us what's slow about it? Usually speeds will vary based on internet connection.,performance_crash,2017-10-03 14:15:21+00:00,2017-10-03 15:28:28+00:00
2150002,Hey @AppleSupport tell IOS 11 to stop changing my brightness on its own and bring back night shift,"@631882 Hi, for Night Shift, firmly press on the Brightness slider in Control Center and for auto-brightness:",device_settings_features,2017-10-03 14:34:13+00:00,2017-10-03 15:39:32+00:00
280889,"@14229 @14230 @115858 @AppleSupport @14229 @14230 Hi, with upgrade iOS 11.0.1 , iPhone doesn’t connect with KIA cars. Problems with Bluetooth.","@182928 We're here to help! Since having this issue, have you tried connecting to alternate Bluetooth devices?",device_settings_features,2017-10-03 16:37:53+00:00,2017-10-03 17:54:00+00:00
663587,@AppleSupport my battery life has been horrible since I updated to iOS 11. Will there be a fix coming for this?,@278148 Let's help get that improved. Check out the suggestions here: but keep us posted.,battery_charging,2017-10-03 16:42:12+00:00,2017-10-03 17:47:28+00:00
2047593,"@AppleSupport are you aware update iOS 11.0.1 still can’t make calls? (uk, iPhone 7 +) ?","@605545 We'd love to help you out! If you have a backup already, update to iOS 11.0.2 and let us know if that helps by sending a DM.",ios_update,2017-10-03 17:00:10+00:00,2017-10-03 18:03:00+00:00
245073,@applesupport been 3 days with a silent morning alarm despite no issues in past versions and correctly following all troubleshooting.,@174187 Let's make sure you're fully up-to-date. We've released 11.0.2 today. Info on how to update here:,device_settings_features,2017-10-03 17:33:12+00:00,2017-10-03 18:26:02+00:00
187958,@AppleSupport iOS 11.0.1 on my 6S has caused Bluetooth to become unstable. Random disconnects. Even did a full restore with no luck.,@160106 There has been a new update released. You can update to iOS 11.0.2. We always recommend backing up your device first.,device_settings_features,2017-10-03 18:10:20+00:00,2017-10-03 18:58:27+00:00
1850853,"@115858 @AppleSupport Hey, can you guys patch iOS 11 to STOP TURNING MY BLUETOOTH ON BY ITSELF?? Stop stealing my battery, damn.",@554044 That's not to be expected. We want to help. Have you updated to the latest iOS version 11.0.2?,device_settings_features,2017-10-03 18:27:44+00:00,2017-10-03 19:11:00+00:00
242500,@AppleSupport updated to the new iOS 11 and I am having text issues. Keyboard glitches on me every time! Please help!,@173604 We certainly don't want that happening. Does the issue persist after a restart? Here's how to do that:,performance_crash,2017-10-03 18:32:29+00:00,2017-10-03 19:22:32+00:00
239634,@AppleSupport just updated to ios11. Now I can only see time/battery life in certain apps as they cover each other. Even in standard apps,@172934 We're here for you! Are you not able to see the battery level and time at the top of the screen?,battery_charging,2017-10-03 19:15:25+00:00,2017-10-03 20:10:00+00:00
188418,@160214 @AppleSupport mine keeps changing my screen brightness ?,@160213 Thanks for reaching out. We want to help. Are you updated to iOS 11.0.2?,device_settings_features,2017-10-03 19:29:53+00:00,2017-10-03 20:22:40+00:00
242416,"@AppleSupport So many problems with the upgrade! CarPlay not working well, can't see anything in settings (white screen). Help!","@173580 You're in the right place for assistance. For the best support, what iOS version is shown in Settings &gt; General &gt; About?",device_settings_features,2017-10-03 20:29:00+00:00,2017-10-03 21:09:34+00:00
237459,i updated my iphone 6s to ios11.0.2 but it still crashes so much 😭 @AppleSupport please fix it,@172543 We’d like to help get you back to enjoying your iPhone. Does this only happen when you're using certain apps?,performance_crash,2017-10-03 20:38:07+00:00,2017-10-03 21:22:00+00:00
187467,Great now ios11 doesn’t work with AirPlay. Nice. Thanks @AppleSupport,@159993 We'd like to look into this with you. Can you verify that you're updated to iOS 11.0.2? What happens with Airplay?,device_settings_features,2017-10-03 23:21:46+00:00,2017-10-04 00:00:00+00:00
