customer_tweet_id,customer_text,support_reply
512460,Is it just my phone that keeps on randomly restarting ever since I updated my iOS? @115858 @AppleSupport,"@237856 Hey, thanks for reaching out. That's not what we'd expect. We'd love to assist. We've received your DMs, so look for a reply there shortly."
1021111,@AppleSupport does iOS 11 have auto fill credit card info when making a purchase?,@361636 Thanks for reaching out us about this. Auto-fill is a feature you would need to turn on in your settings.
2558704,@115858 @AppleSupport @115858 OMG 4 the 1st time I’m 8 yrs.. I HATE MY PHONE! It is sooo glitchy &amp; slow! WTF fix ur chit.. droid here I come 😫,@726367 We're here for you. Which iPhone and iOS version are you using? Can you tell us more about what's happening with your iPhone?
2360410,"@AppleSupport i need your help, i’ve done the 1.11.2 (beta) and i regret it so bad bc it’s sucks !!! look a the pic it’s so horrible i need to go back to the public official version please help me😭😭",@681657 We can get you pointed in the right direction. Please send us a DM and we'll provide some information.
234395,@AppleSupport New iOS stinks. Slowed everything waaaaay down and is a battery drain. #BOO,@171802 Have you updated to IOS 11.0.2 yet? Let us know in DM if you still need help.
9158,@AppleSupport It’s showing it’s connected and the battery is decreasing.,@117641 We are here for you. Let's take a look at this further for you. Reach out to us in DM.
1335688,"Hey @AppleSupport @115858, when is a proper iOS update coming where I dont have to reboot my phone a dozen times a day? Getting tiresome now.",@431573 That's unexpected. We'd be happy to help. Which version of iOS are you using? Check in Settings &gt; General &gt; About.
1330004,Why the fuck my phone keep glitching and blacking our randomly @AppleSupport Ima buy the new iPhone anyway relax,@370413 We'd love to help you with this. Please DM us and let us know which iPhone model you have.
2774328,"@AppleSupport Bonjour, mon IPhone 6 est très très lent depuis la mise à jour IOS 11.1. En boutique on me dit que le problème est connu ? Ce ne serait pas juste que le téléphone n’a pas assez de mémoire vive pour la MAJ ? Merci",@775348 We offer support via Twitter in English. Contact us for help in your preferred language here:
50874,@AppleSupport sorry I’m just now seeing this but I took it to my local apple store and they fixed it!! thank you!!,@127421 We're glad you were able to get the issue resolved. Feel free to reach out to us anytime you need assistance.
1966898,"@AppleSupport You guys are already dealing with it, although I have to wait a week for an appointment.","@571263 We're glad to hear you have an appointment for your iPhone's battery issue. If you're having more issues, DM us and we'll help"
1921848,"@AppleSupport - new upgrade crashing iPhone 7 - Calls stuck, no sound, frozen screen, phone overheats- etc— please make new upgrade thx!!",@572121 We want to be sure your iPhone is working normally. DM us and let us know when these issues started.
2298578,"@AppleSupport my iPhone 6+ rear camera can’t focus, provides blurry images","@667210 The camera is one of the best parts on the iPhone. We want to ensure your camera quality is up to par. We'd like a few details from you in order to assist. First, meet us in DM with your country, and we'll take it from there."
1597357,And it STILL doesn’t work. @AppleSupport @123765 @TwitterSupport,"@183950 We are happy to provide you a speedy, clear workaround for this. This article walks you through it:"
302650,@AppleSupport yes it does,"@184695 From Settings &gt; General &gt; About, can you tell us the exact iOS version?"
